Representation,Dimension,Model,Accuracy Mean,Accuracy Std,Balanced Accuracy Mean,Balanced Accuracy Std,F1 Mean,F1 Std,ROC-AUC Mean,ROC-AUC Std
Raw,400,SVM,0.9122221000134049,0.005695515631413751,0.9122218965063152,0.0056955384734915845,0.9125674634405792,0.005660995722260326,0.9627090055566042,0.0035730478141928366
Raw,400,Random Forest,0.9860339266953322,0.00299246742384825,0.9860341352815216,0.0029926668510019986,0.9859784116181725,0.003018867141268779,0.9989200927095382,0.0004139517742036818
Raw,400,XGBoost,0.9872967027679151,0.0026337986759861717,0.9872968086202749,0.0026344986465223494,0.9872306587525621,0.0026636456677531753,0.9991462437341299,0.00037479747782971027
PE,1,SVM,0.6965539748608827,0.007738516186861374,0.6965541572673453,0.007740111912960129,0.6924458962958694,0.008853926579011257,0.7413068728650076,0.007854223863552865
PE,1,Random Forest,0.5966507069589138,0.00870784459462333,0.5966515475958731,0.008708038191757318,0.5967600323165193,0.009588782687443976,0.6643530697360639,0.009290948749683113
PE,1,XGBoost,0.6935255315224278,0.007723606396166356,0.6935267436933894,0.007723612641406807,0.6942648255164099,0.009652169548112459,0.7418724650091952,0.00982824467333307
Betti Curve,100,SVM,0.8258986587200384,0.007773631923899267,0.8258988079561198,0.0077705173354952195,0.8339153929381634,0.007444464104342334,0.891416892046452,0.007561631193609603
Betti Curve,100,Random Forest,0.9389660561190527,0.005126753015141801,0.9389669640096646,0.00512610487678311,0.9396814777361989,0.005027216783444501,0.9848458680326333,0.00230612503992218
Betti Curve,100,XGBoost,0.9297088584970835,0.005786235287093885,0.9297098558325413,0.005785044998189105,0.9304652951348449,0.005728042217684796,0.9784170082110666,0.002945447897699139
Persistence Landscape,500,SVM,0.8677974629449499,0.006829361402322511,0.8677977304217386,0.006829432313821635,0.871248605523728,0.006331171911976159,0.9176476671705658,0.00676284820081315
Persistence Landscape,500,Random Forest,0.9385593298985018,0.005655711577602081,0.9385602491726688,0.005653247250812179,0.9396232770464706,0.005472843339202545,0.9856668773404412,0.002392822609474364
Persistence Landscape,500,XGBoost,0.9377781233995895,0.005213709865228729,0.9377788363544757,0.005213097424586777,0.9383889488394911,0.005156996500724069,0.983238249713242,0.0022991274937398873
Persistence Image,400,SVM,0.5004605000097385,0.0015880346352739703,0.5006745182012848,0.0014905316920627615,0.4000147956860689,0.32661117219445546,0.4139315004179596,0.044314618619095296
Persistence Image,400,Random Forest,0.903114663568673,0.006504584601462337,0.9031149560856073,0.006504012545897016,0.9032104857214327,0.006479262693480031,0.9636709496856295,0.004002403376103943
Persistence Image,400,XGBoost,0.8949489128952834,0.006002247920394705,0.8949485737841953,0.006002053050479677,0.89547573739728,0.00608013711618468,0.959376987570423,0.004052003396596787
PET,64,SVM,0.953445922025428,0.004927714027161265,0.9534463236725488,0.004928231642685355,0.9532545361139922,0.004936285606449882,0.9846544481925803,0.0025947806357651394
PET,64,Random Forest,0.9648973274077332,0.004523315243777236,0.9648975827044853,0.004522839186848735,0.9649972814926814,0.004513423562601758,0.9945224244294318,0.001085854723216163
PET,64,XGBoost,0.9650365022461598,0.00416530126640246,0.9650368148037879,0.004165347001262182,0.9650430897148122,0.004161556922862848,0.9943823087189321,0.0011454423707859653
